ad_id,provider,target_age,impressions,spend,headline,body
ad_145,Zip,25-34,8869,2887.1,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_146,Klarna,18-24,6838,215.99,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_147,Affirm,25-34,1266,3785.44,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_148,Sezzle,18-24,10796,792.09,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_149,Sezzle,25-34,1910,3223.68,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_150,Zip,25-34,9720,4797.42,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_151,Affirm,55-64,4264,809.09,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_152,Affirm,25-34,3325,3498.42,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_153,Klarna,25-34,6159,3053.24,Zero interest when you pay in 4.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_154,Sezzle,18-24,2144,869.33,Don't wait! Buy today and pay later.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_155,Klarna,18-24,1862,1591.65,Split your purchase into 4 easy payments.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_156,Klarna,25-34,5520,3038.42,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_157,Klarna,45-54,1586,4618.65,"Get it now, pay over time.","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_158,Affirm,45-54,1913,4568.11,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. Smart budgeting for your family. No interest fees."
ad_159,Zip,25-34,3237,4578.49,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_160,Afterpay,25-34,2278,472.48,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_161,Klarna,18-24,985,2016.72,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_162,Afterpay,18-24,28466,1919.74,Split your purchase into 4 easy payments.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_163,Klarna,35-44,1679,2293.78,"Get it now, pay over time.",Don't let tight budgets hold you back. Flexible payment options available now!
ad_164,Zip,25-34,14642,559.76,Unlock your purchasing power.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_165,Affirm,18-24,2928,3237.8,Don't wait! Buy today and pay later.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_166,Zip,35-44,2305,2781.03,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. Smart budgeting for your family. No interest fees."
ad_167,Sezzle,25-34,8302,1729.39,Unlock your purchasing power.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_168,Afterpay,25-34,2099,1253.7,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_169,Afterpay,55-64,2370,4724.83,Zero interest when you pay in 4.,"We help you buy what you want, when you want it. Download the app today. Smart budgeting for your family. No interest fees."
ad_170,PayPal Pay Later,18-24,561,4468.72,Unlock your purchasing power.,Instant approval! Just select our payment option at checkout.
ad_171,Afterpay,18-24,17408,1929.48,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_172,Sezzle,18-24,1591,4312.29,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_173,Affirm,35-44,10421,743.56,"Get it now, pay over time.",Don't let tight budgets hold you back. Flexible payment options available now!
ad_174,Afterpay,45-54,2130,161.22,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_175,Affirm,25-34,11453,1326.54,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_176,Afterpay,25-34,8982,4121.79,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_177,Zip,25-34,9427,382.52,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
